"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1312.6","","","","1"
"1997","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1360.8","","","","1"
"1998","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1307.9","","","","1"
"1999","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1466.3","","","","1"
"2000","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1515.8","","","","1"
"2001","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1553.5","","","","1"
"2002","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1618.6","","","","1"
"2003","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1557.5","","","","1"
"2004","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1556.3","","","","1"
"2005","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1533.1","","","","1"
"2006","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1558.2","","","","1"
