"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","47.4","","","","1"
"2017","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","37.8","","","","1"
"2018","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","39.4","","","","1"
"2019","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","39.3","","","","1"
"2020","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","20.2","","","","1"
"2021","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","18.9","","","","1"
"2022","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","23.7","","","","1"
"1997","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2063.6","","","","1"
"1998","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2024.6","","","","1"
"1999","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2097.4","","","","1"
"2000","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2241.1","","","","1"
"2001","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2172.0","","","","1"
"2002","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2266.0","","","","1"
