"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","215.7","","","","1"
"2008","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","232.6","","","","1"
"2009","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","195.5","","","","1"
"2010","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","192.2","","","","1"
"2011","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","198.3","","","","1"
"2012","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","204.7","","","","1"
"2013","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","204.5","","","","1"
"2014","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","217.2","","","","1"
"2015","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","203.9","","","","1"
"2016","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","241.2","","","","1"
"2017","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","263.4","","","","1"
"2018","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","299.2","","","","1"
"2019","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","344.9","","","","1"
"2020","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","405.5","","","","1"
"2021","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","442.4","","","","1"
"2022","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","495.6","","","","1"
"1997","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","245.5","","","","1"
"1998","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","249.5","","","","1"
"1999","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","289.1","","","","1"
"2000","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","351.5","","","","1"
"2001","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","331.5","","","","1"
"2002","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","330.7","","","","1"
"2003","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","289.9","","","","1"
"2004","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","350.5","","","","1"
"2005","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","365.4","","","","1"
"2006","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","353.1","","","","1"
"2007","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","292.1","","","","1"
"2008","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","316.0","","","","1"
"2009","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","263.0","","","","1"
"2010","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","242.6","","","","1"
"2011","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","249.6","","","","1"
"2012","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","255.6","","","","1"
"2013","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","255.0","","","","1"
"2014","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","243.4","","","","1"
"2015","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","232.5","","","","1"
"2016","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","216.3","","","","1"
"2017","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","231.8","","","","1"
"2018","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","234.3","","","","1"
