"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","467924","","","","0"
"2020","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","470130","","","","0"
"2021","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","468179","","","","0"
"2022","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","467920","","","","0"
"2023","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","471810","","","","0"
"1990","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","481926","","","","0"
"1991","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","489312","","","","0"
"1992","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","490215","","","","0"
"1993","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","487296","","","","0"
"1994","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","481865","","","","0"
"1995","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","470885","","","","0"
"1996","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","460556","","","","0"
"1997","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","451230","","","","0"
"1998","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","446434","","","","0"
"1999","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","445358","","","","0"
"2000","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","452206","","","","0"
"2001","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","462984","","","","0"
"2002","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","476021","","","","0"
"2003","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","486956","","","","0"
"2004","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","490850","","","","0"
"2005","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","486390","","","","0"
"2006","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","476386","","","","0"
"2007","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","463612","","","","0"
