"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","210167","","","","0"
"2003","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","208154","","","","0"
"2004","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","206691","","","","0"
"2005","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","206847","","","","0"
"2006","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","207643","","","","0"
"2007","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","208680","","","","0"
"2008","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","210588","","","","0"
"2009","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","213204","","","","0"
"2010","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","215931","","","","0"
"2011","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","221624","","","","0"
"2012","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","232250","","","","0"
"2013","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","244270","","","","0"
"2014","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","255083","","","","0"
"2015","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","264906","","","","0"
"2016","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","272659","","","","0"
"2017","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","275764","","","","0"
"2018","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","277266","","","","0"
"2019","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","278593","","","","0"
"2020","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","280083","","","","0"
"2021","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","282243","","","","0"
"2022","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","285854","","","","0"
"2023","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","293057","","","","0"
"1990","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","183571","","","","0"
"1991","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","188822","","","","0"
"1992","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","194276","","","","0"
"1993","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","199876","","","","0"
"1994","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","205131","","","","0"
"1995","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","209383","","","","0"
"1996","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","212657","","","","0"
"1997","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","215696","","","","0"
"1998","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","218124","","","","0"
"1999","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","220144","","","","0"
"2000","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","223183","","","","0"
"2001","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","224668","","","","0"
"2002","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","227561","","","","0"
"2003","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","228794","","","","0"
"2004","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","228039","","","","0"
"2005","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","227439","","","","0"
"2006","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","227824","","","","0"
"2007","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","226633","","","","0"
"2008","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","225661","","","","0"
"2009","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","225428","","","","0"
