"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","225501","","","","0"
"2014","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","229366","","","","0"
"2015","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","233328","","","","0"
"2016","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","237701","","","","0"
"2017","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","241090","","","","0"
"2018","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","243546","","","","0"
"2019","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","244756","","","","0"
"2020","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","247029","","","","0"
"2021","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","249299","","","","0"
"2022","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","254836","","","","0"
"2023","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","258536","","","","0"
"1990","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","210576","","","","0"
"1991","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","217220","","","","0"
"1992","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","226474","","","","0"
"1993","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","235539","","","","0"
"1994","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","244580","","","","0"
"1995","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","252385","","","","0"
"1996","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","257915","","","","0"
"1997","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","262374","","","","0"
"1998","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","263461","","","","0"
"1999","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","263105","","","","0"
"2000","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","262611","","","","0"
"2001","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","262515","","","","0"
"2002","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","263478","","","","0"
"2003","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","263710","","","","0"
"2004","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","262366","","","","0"
"2005","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","260504","","","","0"
"2006","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","258313","","","","0"
"2007","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","256551","","","","0"
"2008","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","253540","","","","0"
"2009","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","250365","","","","0"
"2010","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","245712","","","","0"
"2011","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","239864","","","","0"
"2012","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","235873","","","","0"
"2013","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","234056","","","","0"
"2014","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","233928","","","","0"
"2015","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","233980","","","","0"
"2016","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","236151","","","","0"
"2017","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","239281","","","","0"
"2018","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","244173","","","","0"
"2019","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","250101","","","","0"
"2020","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","255696","","","","0"
"2021","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","258166","","","","0"
"2022","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","262990","","","","0"
"2023","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","268266","","","","0"
"1990","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","219243","","","","0"
"1991","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","217538","","","","0"
"1992","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","220324","","","","0"
"1993","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","224694","","","","0"
"1994","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","233334","","","","0"
"1995","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","241943","","","","0"
"1996","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","253415","","","","0"
"1997","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","259616","","","","0"
"1998","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","264595","","","","0"
"1999","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","269393","","","","0"
