"REF_DATE","GEO","DGUID","Sales taxes","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2323.5","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2308.2","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2327.5","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2367.1","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2437.2","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2476.4","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2611.5","","","","1"
"2019","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2756.4","","","","1"
"2020","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","3010.4","","","","1"
"2021","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","3179.1","","","","1"
"2022","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","3852.7","","","","1"
"2007","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","6782.3","","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","7035.0","","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","7288.0","","","","1"
"2010","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","7639.5","","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","7831.3","","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","8091.9","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","8335.9","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","8536.0","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","8647.2","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","8810.9","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","8993.7","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","9278.1","","","","1"
"2019","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","9532.1","","","","1"
"2020","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","10368.7","","","","1"
"2021","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","10532.4","","","","1"
"2022","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v99923311","6.1.5","10510.6","","","","1"
"2007","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","3680.7","","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","3882.1","","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","4013.2","","","","1"
