"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","115.8","","","","1"
"2018","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","118.8","","","","1"
"2019","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","132.3","","","","1"
"2020","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","42.9","","","","1"
"2021","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","37.9","","","","1"
"2022","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","128.9","","","","1"
"1997","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","34.6","","","","1"
"1998","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","41.0","","","","1"
"1999","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","43.3","","","","1"
"2000","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","42.0","","","","1"
"2001","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","39.2","","","","1"
"2002","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","36.7","","","","1"
"2003","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","36.2","","","","1"
"2004","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","36.4","","","","1"
"2005","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","30.6","","","","1"
"2006","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","29.4","","","","1"
"2007","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","30.0","","","","1"
"2008","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","29.7","","","","1"
"2009","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","26.5","","","","1"
"2010","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","29.3","","","","1"
"2011","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","32.2","","","","1"
"2012","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","35.3","","","","1"
"2013","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","33.2","","","","1"
"2014","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","38.8","","","","1"
"2015","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","47.2","","","","1"
"2016","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","50.7","","","","1"
