Economy_key,Location_key,Date_key,year,Sector,GDP,GDP per capita,GDP growth rate
208,67,11689,2022,All transportation,13881.7,2591.6661625858524,12.569232141553876
209,42,2558,1997,Ground transportation,794.0,201.08479421605168,0.0
210,43,2923,1998,Ground transportation,786.9,197.55904489779726,-0.8942065491183926
211,44,3288,1999,Ground transportation,906.8,226.0571499797451,15.237005972804685
212,45,3653,2000,Ground transportation,995.7,246.50737888161854,9.803705337450385
213,46,4019,2001,Ground transportation,838.5,205.67117728781898,-15.787887918047605
214,47,4384,2002,Ground transportation,1191.0,290.45210052227725,42.039355992844364
215,48,4749,2003,Ground transportation,1164.7,282.38937244192977,-2.208228379513011
216,49,5114,2004,Ground transportation,1172.7,282.1954793857971,0.686872155919982
217,50,5480,2005,Ground transportation,1168.0,278.35530147690366,-0.40078451436855733
218,51,5845,2006,Ground transportation,1171.4,276.1568044456672,0.29109589041096395
219,52,6210,2007,Ground transportation,1400.8,326.4516998070607,19.58340447327982
220,53,6575,2008,Ground transportation,1402.6,322.4858587674722,0.12849800114220766
221,54,6941,2009,Ground transportation,1422.0,322.41147458356886,1.3831455867674425
222,55,7306,2010,Ground transportation,1550.8,347.28030568191156,9.057665260196913
223,56,7671,2011,Ground transportation,1519.3,337.335936457482,-2.031209698220271
224,57,8036,2012,Ground transportation,1538.3,336.54454101257835,1.2505759231224989
225,58,8402,2013,Ground transportation,1585.1,341.989103210115,3.0423194435415635
226,59,8767,2014,Ground transportation,1499.4,318.1621710398581,-5.406598952747455
227,60,9132,2015,Ground transportation,1537.1,322.54937181458627,2.5143390689609024
228,61,9497,2016,Ground transportation,1565.1,321.952971538913,1.8216121267321528
229,62,9863,2017,Ground transportation,1667.5,337.94725063951574,6.542712925691663
230,63,10228,2018,Ground transportation,1789.0,356.3050154163162,7.286356821589202
231,64,10593,2019,Ground transportation,1829.0,357.85406519478886,2.235885969815543
232,65,10958,2020,Ground transportation,794.4,153.47459410084926,-56.566429743028976
233,66,11324,2021,Ground transportation,776.7,148.6033637128073,-2.228096676737157
234,67,11689,2022,Ground transportation,1079.5,201.53897739552272,38.98545126818591
235,42,2558,1997,Water Transportation,763.6,193.38582980274188,0.0
236,43,2923,1998,Water Transportation,859.7,215.83620650481168,12.585123101100049
237,44,3288,1999,Water Transportation,1008.9,251.50976909413853,17.35489124113061
238,45,3653,2000,Water Transportation,1135.4,281.09317865038633,12.538408167310955
239,46,4019,2001,Water Transportation,1130.6,277.31882294765427,-0.422758499207343
240,47,4384,2002,Water Transportation,1153.3,281.2581087593135,2.0077834777993964
241,48,4749,2003,Water Transportation,1138.1,275.9400229897487,-1.317957166392092
242,49,5114,2004,Water Transportation,1125.1,270.74113912932575,-1.1422546349178497
243,50,5480,2005,Water Transportation,1188.3,283.19315474743547,5.6172784641365325
244,51,5845,2006,Water Transportation,1126.5,265.57165802291627,-5.200706892198936
245,52,6210,2007,Water Transportation,984.1,229.34117488587125,-12.640923213493116
246,53,6575,2008,Water Transportation,959.2,220.53930966045868,-2.5302306676150743
247,54,6941,2009,Water Transportation,804.2,182.33706600570048,-16.15929941618015
248,55,7306,2010,Water Transportation,776.2,173.8193018250579,-3.4817209649340986
249,56,7671,2011,Water Transportation,800.7,177.78245528961088,3.1564029889203704
250,57,8036,2012,Water Transportation,838.1,183.3569393633504,4.670912951167727
251,58,8402,2013,Water Transportation,840.4,181.31830315928372,0.27443025891897843
252,59,8767,2014,Water Transportation,821.4,174.29532299062257,-2.260828177058538
253,60,9132,2015,Water Transportation,843.6,177.0233882394021,2.7027027027026973
254,61,9497,2016,Water Transportation,738.5,151.91506579866285,-12.458511142721672
255,62,9863,2017,Water Transportation,832.7,168.76082495203886,12.755585646580903
256,63,10228,2018,Water Transportation,784.0,156.14484744907318,-5.848444818061727
257,64,10593,2019,Water Transportation,757.9,148.28736796671976,-3.3290816326530637
258,65,10958,2020,Water Transportation,452.8,87.4789730725888,-40.25597044464969
259,66,11324,2021,Water Transportation,490.2,93.78829521310433,8.259717314487624
260,67,11689,2022,Water Transportation,552.9,103.22454895968922,12.790697674418606
261,8,2558,1997,Air transportation,4714.299999999999,157.63753752263594,0.0
262,9,2923,1998,Air transportation,4846.6,160.72200945423194,2.806355132257199
263,10,3288,1999,Air transportation,4834.0,159.00643150424622,-0.2599760656955441
264,11,3653,2000,Air transportation,4978.6,162.2447958709146,2.99131154323542
265,12,4019,2001,Air transportation,4595.4,148.1390503259823,-7.6969429156791165
266,13,4384,2002,Air transportation,4207.2,134.1615900329597,-8.447578012795399
267,14,4749,2003,Air transportation,3939.0,124.48462842381318,-6.374786081003991
268,15,5114,2004,Air transportation,4444.8,139.16612477103482,12.84082254379284
269,16,5480,2005,Air transportation,4972.2,154.21149795867174,11.865550755939513
270,17,5845,2006,Air transportation,5280.2,162.11257598086752,6.194441092474157
271,18,6210,2007,Air transportation,5633.8,171.29798801941786,6.696716033483585
272,19,6575,2008,Air transportation,5911.7,177.80993811888112,4.932727466363729
273,20,6941,2009,Air transportation,5367.6,159.6071658372155,-9.203782329955846
274,21,7306,2010,Air transportation,6008.900000000001,176.70167960843978,11.94761159549893
275,22,7671,2011,Air transportation,6947.5,202.31967405434153,15.620163424254008
276,23,8036,2012,Air transportation,7400.0,213.17419399629452,6.513134220942796
277,24,8402,2013,Air transportation,7178.700000000001,204.63218371932015,-2.9905405405405316
278,25,8767,2014,Air transportation,8338.1,235.31310236877698,16.150556507445636
279,26,9132,2015,Air transportation,8724.1,244.34176332629016,4.629352010649912
280,27,9497,2016,Air transportation,9556.5,264.6437964838389,9.541385357801957
281,28,9863,2017,Air transportation,10303.2,281.93128622666666,7.813530058075657
282,29,10228,2018,Air transportation,10544.7,284.43363323120946,2.3439319822967652
283,30,10593,2019,Air transportation,10856.699999999999,288.6000622831934,2.9588323992147503
284,31,10958,2020,Air transportation,2616.2,68.79552194322605,-75.90243812576566
285,32,11324,2021,Air transportation,1871.6,48.94368871186362,-28.46112682516627
286,33,11689,2022,Air transportation,5613.799999999999,144.16887764305326,199.94656977986747
287,8,2558,1997,All industries,1236403.8,41343.07329097208,0.0
288,9,2923,1998,All industries,1283133.8,42551.03427859625,3.7795095744610263
289,10,3288,1999,All industries,1347553.0999999999,44325.52951871838,5.020466298993909
290,11,3653,2000,All industries,1419042.4,46244.37482829967,5.30511933073361
291,12,4019,2001,All industries,1441176.3,46458.30361542259,1.5597772131403564
292,13,4384,2002,All industries,1488296.1,47459.633774446855,3.269537529863631
293,14,4749,2003,All industries,1517252.4000000001,47949.886072388625,1.9456007443680035
294,15,5114,2004,All industries,1567359.2,49073.81794191624,3.3024696484249993
295,16,5480,2005,All industries,1616526.0,50136.13610658055,3.136919730971699
296,17,5845,2006,All industries,1660471.7000000002,50979.763007145615,2.71852726154731
297,18,6210,2007,All industries,1693466.4,51490.53695524987,1.987067891611738
298,19,6575,2008,All industries,1707217.2,51349.05098152638,0.811991309659299
299,20,6941,2009,All industries,1654440.0,49195.26034870758,-3.0914168390524632
300,21,7306,2010,All industries,1707734.7999999998,50218.77672881607,3.2213196005899114
301,22,7671,2011,All industries,1761965.7,51310.59030139327,3.175604315143077
302,23,8036,2012,All industries,1794112.0,51683.564802578374,1.8244566281852226
303,24,8402,2013,All industries,1838039.8,52394.17973129152,2.4484424606713517
304,25,8767,2014,All industries,1889760.7000000002,53331.74860598838,2.813916216612955
305,26,9132,2015,All industries,1906384.9,53393.40998436668,0.879698683542296
306,27,9497,2016,All industries,1926654.5,53353.964463210636,1.0632480355881935
